
2025/01/02 (14:27:16) | ===> btop++ v.1.4.0
2025/01/02 (14:27:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/09 (16:35:48) | ===> btop++ v.1.4.0
2025/01/09 (16:35:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/16 (20:25:52) | ===> btop++ v.1.4.0
2025/01/16 (20:25:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/23 (14:26:18) | ===> btop++ v.1.4.0
2025/01/23 (14:26:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/13 (15:37:15) | ===> btop++ v.1.4.0
2025/02/13 (15:37:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/13 (22:58:52) | ===> btop++ v.1.4.0
2025/02/13 (22:58:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/13 (22:59:06) | ===> btop++ v.1.4.0
2025/02/13 (22:59:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/18 (15:36:14) | ===> btop++ v.1.4.0
2025/02/18 (15:36:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/18 (15:38:03) | ===> btop++ v.1.4.0
2025/02/18 (15:38:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/20 (01:57:14) | ===> btop++ v.1.4.0
2025/02/20 (01:57:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/20 (14:08:03) | ===> btop++ v.1.4.0
2025/02/20 (14:08:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/22 (22:09:02) | ===> btop++ v.1.4.0
2025/02/22 (22:09:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/26 (01:28:32) | ===> btop++ v.1.4.0
2025/02/26 (01:28:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/02 (14:11:01) | ===> btop++ v.1.4.0
2025/03/02 (14:11:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/06 (02:55:19) | ===> btop++ v.1.4.0
2025/03/06 (02:55:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/06 (03:06:32) | WARNING: Failed to join _runner thread on exit!

2025/03/06 (03:27:31) | ===> btop++ v.1.4.0
2025/03/06 (03:27:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/06 (03:28:05) | WARNING: Failed to join _runner thread on exit!

2025/03/06 (03:28:07) | ===> btop++ v.1.4.0
2025/03/06 (03:28:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/06 (03:28:55) | ===> btop++ v.1.4.0
2025/03/06 (03:28:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/07 (03:38:20) | ===> btop++ v.1.4.0
2025/03/07 (03:38:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/07 (04:19:48) | ===> btop++ v.1.4.0
2025/03/07 (04:19:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/07 (04:26:06) | ===> btop++ v.1.4.0
2025/03/07 (04:26:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/07 (20:39:34) | ===> btop++ v.1.4.0
2025/03/07 (20:39:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/07 (20:39:55) | ===> btop++ v.1.4.0
2025/03/07 (20:39:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/07 (22:18:28) | ===> btop++ v.1.4.0
2025/03/07 (22:18:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/07 (22:49:11) | ===> btop++ v.1.4.0
2025/03/07 (22:49:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/07 (22:49:17) | ===> btop++ v.1.4.0
2025/03/07 (22:49:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/08 (15:39:00) | ===> btop++ v.1.4.0
2025/03/08 (15:39:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/10 (03:25:22) | ===> btop++ v.1.4.0
2025/03/10 (03:25:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/10 (03:46:58) | ===> btop++ v.1.4.0
2025/03/10 (03:46:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/11 (02:24:41) | ===> btop++ v.1.4.0
2025/03/11 (02:24:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/11 (21:09:13) | ===> btop++ v.1.4.0
2025/03/11 (21:09:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/11 (22:48:33) | ===> btop++ v.1.4.0
2025/03/11 (22:48:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/11 (22:58:37) | ===> btop++ v.1.4.0
2025/03/11 (22:58:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/12 (17:02:55) | ===> btop++ v.1.4.0
2025/03/12 (17:02:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/13 (01:03:29) | ===> btop++ v.1.4.0
2025/03/13 (01:03:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/23 (16:51:45) | ===> btop++ v.1.4.0
2025/03/23 (16:51:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/31 (15:46:34) | ===> btop++ v.1.4.0
2025/03/31 (15:46:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/01 (01:11:07) | ===> btop++ v.1.4.0
2025/04/01 (01:11:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/04 (00:34:16) | ===> btop++ v.1.4.0
2025/04/04 (00:34:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/04 (00:42:46) | ===> btop++ v.1.4.0
2025/04/04 (00:42:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/04 (01:05:47) | ===> btop++ v.1.4.0
2025/04/04 (01:05:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/06 (01:02:00) | ===> btop++ v.1.4.0
2025/04/06 (01:02:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/09 (14:47:12) | ===> btop++ v.1.4.0
2025/04/09 (14:47:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/09 (14:49:03) | ===> btop++ v.1.4.0
2025/04/09 (14:49:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/10 (22:01:48) | ===> btop++ v.1.4.0
2025/04/10 (22:01:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/19 (02:45:00) | ===> btop++ v.1.4.0
2025/04/19 (02:45:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/25 (02:03:51) | ===> btop++ v.1.4.0
2025/04/25 (02:03:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/25 (02:17:06) | ===> btop++ v.1.4.0
2025/04/25 (02:17:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/25 (02:25:05) | ===> btop++ v.1.4.0
2025/04/25 (02:25:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/25 (03:06:32) | ===> btop++ v.1.4.0
2025/04/25 (03:06:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/25 (03:10:50) | ===> btop++ v.1.4.0
2025/04/25 (03:10:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/26 (14:40:30) | ===> btop++ v.1.4.0
2025/04/26 (14:40:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/26 (14:52:07) | ===> btop++ v.1.4.0
2025/04/26 (14:52:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

